,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
1160,Yes,I know some,No,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1161,No,I know some,Yes,Yes,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1162,Yes,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1163,I don't know,I know some,No,Not eligible for coverage / NA,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1164,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1165,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1166,Yes,I know some,Yes,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1167,I don't know,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1168,Yes,I know some,No,I don't know,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1169,Yes,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1170,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1171,I don't know,I know some,Yes,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1172,I don't know,I know some,No,Yes,Yes,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1173,No,I know some,Yes,I don't know,Yes,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1174,Yes,I know some,Yes,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1175,I don't know,I know some,I don't know,I don't know,Maybe,No,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1176,Yes,I know some,Yes,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1177,No,I know some,I don't know,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1178,Yes,I know some,No,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1179,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1180,Yes,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1181,No,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1182,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Don't Know,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1183,No,I know some,I don't know,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1184,No,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1185,Yes,I know some,No,I don't know,Maybe,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1186,Yes,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1187,No,I know some,I don't know,Yes,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1188,No,I know some,Yes,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1189,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1190,Yes,"Yes, I know several",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1191,Yes,I know some,I don't know,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1192,I don't know,I know some,Yes,Yes,No,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1193,I don't know,I know some,No,I don't know,Yes,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1194,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1195,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1196,Yes,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1197,Yes,I know some,No,I don't know,Yes,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1198,Yes,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1199,Yes,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1200,No,I know some,I don't know,I don't know,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1201,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1202,I don't know,I know some,No,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1203,Yes,I know some,I don't know,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1204,No,I know some,I don't know,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1205,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1206,No,I know some,No,Not eligible for coverage / NA,Yes,Yes,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1207,I don't know,I know some,I don't know,Yes,Yes,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1208,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1209,Yes,I know some,No,I don't know,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1210,I don't know,I know some,I don't know,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1211,No,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1212,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1213,No,I know some,Yes,Yes,Yes,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1214,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1215,No,I know some,No,I don't know,No,No,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1216,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1217,No,I know some,Yes,Yes,Yes,Maybe,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1218,Yes,I know some,I don't know,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1219,I don't know,I know some,No,Yes,Maybe,Yes,Possibly,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1220,No,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1221,I don't know,I know some,Yes,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1222,I don't know,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1223,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1224,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1225,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1226,I don't know,I know some,I don't know,Yes,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1227,No,I know some,Yes,I don't know,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1228,I don't know,I know some,No,No,Maybe,Maybe,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1229,Yes,I know some,No,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1230,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1231,Yes,I know some,I don't know,Yes,No,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1232,No,I know some,Yes,Yes,No,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1233,Yes,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1234,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1235,Yes,I know some,No,I don't know,No,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1236,Yes,I know some,No,I don't know,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1237,No,I know some,No,I don't know,Yes,Maybe,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1238,I don't know,I know some,No,No,No,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1239,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1240,I don't know,I know some,Yes,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1241,No,I know some,I don't know,Yes,Maybe,Yes,Possibly,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1242,I don't know,I know some,Yes,Yes,Yes,Yes,Don't Know,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1243,Yes,I know some,No,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1244,Yes,I know some,I don't know,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1245,I don't know,I know some,No,Yes,Maybe,Maybe,No,Physical health,Not applicable to me,Yes,,,,,,,,,,
1246,Yes,I know some,No,No,Maybe,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1247,Yes,I know some,No,No,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1248,No,I know some,No,No,Maybe,No,No,Physical health,Not applicable to me,Yes,,,,,,,,,,
1249,Yes,I know some,No,No,No,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1250,No,I know some,No,No,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1251,I don't know,I know some,No,Not eligible for coverage / NA,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1252,Yes,I know some,I don't know,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1253,Yes,I know some,Yes,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1254,Yes,I know some,Yes,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1255,No,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1256,I don't know,I know some,I don't know,I don't know,Yes,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1257,No,I know some,Yes,Yes,Maybe,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1258,No,I know some,No,I don't know,Yes,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1259,Yes,I know some,No,Yes,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1260,I don't know,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1261,Yes,I know some,No,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1262,I don't know,I know some,No,No,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1263,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1264,I don't know,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1265,Yes,I know some,Yes,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1266,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1267,I don't know,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1268,Yes,I know some,No,Yes,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1269,Yes,I know some,Yes,No,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1270,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1271,Yes,I know some,No,Not eligible for coverage / NA,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1272,Yes,I know some,Yes,Yes,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1273,No,I know some,I don't know,I don't know,No,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1274,Yes,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1275,Yes,I know some,No,I don't know,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1276,No,I know some,Yes,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1277,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1278,I don't know,I know some,No,Yes,Maybe,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1279,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Yes,,,,,,,,,,
1280,I don't know,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1281,Yes,I know some,No,Yes,Yes,Maybe,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1282,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1283,Yes,I know some,No,I don't know,Yes,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1284,No,I know some,I don't know,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1285,Yes,I know some,No,Yes,No,No,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1286,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1287,No,I know some,I don't know,I don't know,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1288,No,I know some,No,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1289,I don't know,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1290,Yes,I know some,Yes,Yes,No,No,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
1291,Yes,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1292,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1293,No,I know some,I don't know,Yes,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1294,No,I know some,Yes,Yes,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1295,No,I know some,No,Not eligible for coverage / NA,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1296,Yes,I know some,Yes,Yes,No,No,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1297,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1298,I don't know,I know some,No,I don't know,Yes,Yes,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1299,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1300,Yes,I know some,No,Yes,Yes,No,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1301,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1302,No,I know some,No,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1303,I don't know,I know some,I don't know,I don't know,No,Yes,No,Physical health,Not applicable to me,Yes,,,,,,,,,,
1304,Yes,I know some,I don't know,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Yes,,,,,,,,,,
1305,I don't know,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1306,I don't know,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1307,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1308,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1309,I don't know,I know some,No,No,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1310,No,I know some,No,Not eligible for coverage / NA,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1311,No,I know some,No,No,No,No,Yes,Mental health,Not applicable to me,Maybe,,,,,,,,,,
1312,I don't know,I know some,No,I don't know,Maybe,Maybe,Don't Know,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1313,No,I know some,Yes,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1314,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1315,Yes,I know some,No,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1316,I don't know,I know some,Yes,Yes,Maybe,No,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1317,I don't know,I know some,No,I don't know,Maybe,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1318,I don't know,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1319,No,I know some,Yes,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1320,I don't know,I know some,Yes,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1321,No,I know some,Yes,Yes,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1322,No,"No, I don't know any",No,Yes,Maybe,Yes,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1323,Yes,I know some,Yes,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1324,No,I know some,Yes,Yes,Yes,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1325,Yes,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1326,No,I know some,Yes,Yes,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1327,Yes,I know some,No,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1328,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1329,I don't know,I know some,No,I don't know,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1330,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1331,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1332,Yes,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1333,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Possibly,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1334,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1335,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1336,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1337,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1338,No,"No, I don't know any",No,Yes,Maybe,Yes,Possibly,Physical health,"No, because it would impact me negatively",Maybe,,,,,,,,,,
1339,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1340,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
